"Peak_Label","Weighted_Mean_Theta","Error_Weighted_Mean_Theta"
"27.91","13.9477808529035","0.00264407021538683"
"32.25","16.0988800113343","0.00177338377405269"
"43.72","21.888231513296","0.0116690027278821"
"45.89","22.9600727599072","0.00043432736253864"
"54.27","27.158985950559","0.0170751221799954"
"56.96","28.4623755404667","0.00108139691807708"
"66.64","33.3286358088749","0.0048202984615858"
"75.69","37.8571327717294","0.00381101735050799"
"84.33","42.1894361710741","0.00302308528770159"
"101.42","50.7433412180116","0.00519473078646045"
"110.26","55.1962440898042","0.00670922543660926"
"119.66","59.9111733428205","0.00311033915855762"
