Peak_Label,Weighted_Mean_Theta,Error_Weighted_Mean_Theta
Peak bei 27.11°,13.572422382005554,0.0037312595712664476
Peak bei 38.67°,19.329432455054107,0.0002755883336498838
Peak bei 42.96°,21.476563471479842,0.051813316882366775
Peak bei 55.80°,27.874326683339156,0.0015902165424969996
Peak bei 69.80°,34.9032151855128,0.0008692494609997258
Peak bei 82.72°,41.3556064085019,0.0035131269783023316
Peak bei 95.18°,47.579293388136634,0.0018820387915310024
Peak bei 107.80°,53.94912628426858,0.007679461526307499
Peak bei 108.20°,53.918145562051826,0.0026121370675067064
Peak bei 121.54°,60.993173836817455,0.14441891707418447
Peak bei 122.06°,60.86415333422255,0.0013319907948006473
